-5000000000 5 1 5000 10 150
-5000000000 5 2 -5001 10 150
-5000000000 5 3 0.5002 10 150
-4999999999 5 1 5000 10 150
-4999999999 5 2 -5001 10 150
-4999999999 5 3 0.5002 10 150
-5000000002 5 1 5000 10 150
-5000000002 5 2 -5001 10 150
-5000000002 5 3 0.5002 10 150
-4999999997 5 1 5000 10 150
-4999999997 5 2 -5001 10 150
-4999999997 5 3 0.5002 10 150
-5000000004 5 1 5000 10 150
-5000000004 5 2 -5001 10 150
-5000000004 5 3 0.5002 10 150
-4999999995 5 1 5000 10 150
-4999999995 5 2 -5001 10 150
-4999999995 5 3 0.5002 10 150
-5000000006 5 1 5000 10 150
-5000000006 5 2 -5001 10 150
-5000000006 5 3 0.5002 10 150
-4999999993 5 1 5000 10 150
-4999999993 5 2 -5001 10 150
-4999999993 5 3 0.5002 10 150
-5000000008 5 1 5000 10 150
-5000000008 5 2 -5001 10 150
-5000000008 5 3 0.5002 10 150
-4999999991 5 1 5000 10 150
-4999999991 5 2 -5001 10 150
-4999999991 5 3 0.5002 10 150
-5000000010 5 1 5000 10 150
-5000000010 5 2 -5001 10 150
-5000000010 5 3 0.5002 10 150
-4999999989 5 1 5000 10 150
-4999999989 5 2 -5001 10 150
-4999999989 5 3 0.5002 10 150
-5000000012 5 1 5000 10 150
-5000000012 5 2 -5001 10 150
-5000000012 5 3 0.5002 10 150
-4999999987 5 1 5000 10 150
-4999999987 5 2 -5001 10 150
-4999999987 5 3 0.5002 10 150
-5000000014 5 1 5000 10 150
-5000000014 5 2 -5001 10 150
-5000000014 5 3 0.5002 10 150
-4999999985 5 1 5000 10 150
-4999999985 5 2 -5001 10 150
-4999999985 5 3 0.5002 10 150
-5000000016 5 1 5000 10 150
-5000000016 5 2 -5001 10 150
-5000000016 5 3 0.5002 10 150
-4999999983 5 1 5000 10 150
-4999999983 5 2 -5001 10 150
-4999999983 5 3 0.5002 10 150
-5000000018 5 1 5000 10 150
-5000000018 5 2 -5001 10 150
-5000000018 5 3 0.5002 10 150
-4999999981 5 1 5000 10 150
-4999999981 5 2 -5001 10 150
-4999999981 5 3 0.5002 10 150
-5000000020 5 1 5000 10 150
-5000000020 5 2 -5001 10 150
-5000000020 5 3 0.5002 10 150
-4999999979 5 1 5000 10 150
-4999999979 5 2 -5001 10 150
-4999999979 5 3 0.5002 10 150
-5000000022 5 1 5000 10 150
-5000000022 5 2 -5001 10 150
-5000000022 5 3 0.5002 10 150
-4999999977 5 1 5000 10 150
-4999999977 5 2 -5001 10 150
-4999999977 5 3 0.5002 10 150
-5000000024 5 1 5000 10 150
-5000000024 5 2 -5001 10 150
-5000000024 5 3 0.5002 10 150
-4999999975 5 1 5000 10 150
-4999999975 5 2 -5001 10 150
-4999999975 5 3 0.5002 10 150
-5000000026 5 1 5000 10 150
-5000000026 5 2 -5001 10 150
-5000000026 5 3 0.5002 10 150
-4999999973 5 1 5000 10 150
-4999999973 5 2 -5001 10 150
-4999999973 5 3 0.5002 10 150
-5000000028 5 1 5000 10 150
-5000000028 5 2 -5001 10 150
-5000000028 5 3 0.5002 10 150
-4999999971 5 1 5000 10 150
-4999999971 5 2 -5001 10 150
